Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
Belgrade,Rest,2010,Total Earnings,57743.0,100.0
Belgrade,Rest,2010,Earnings in Currency,54010.0,93.5
Belgrade,Rest,2010,Earnings from Orthodox Work Relations a.k.a. Job,25261.0,43.8
Belgrade,Rest,2010,Earnings from Unorthodox Work Relations,744.0,1.3
Belgrade,Rest,2010,Pensions,19054.0,33.0
Belgrade,Rest,2010,Social Sequrity Earnings,820.0,1.4
Belgrade,Rest,2010,"Earnings from Agricultural, Hunting and Fishing Actions",1350.0,2.3
Belgrade,Rest,2010,Foreign Earnings,0.0,0.0
Belgrade,Rest,2010,Real Estate Earnings,585.0,1.0
Belgrade,Rest,2010,Presents,944.0,1.6
Belgrade,Rest,2010,Investment Interest,2001.0,3.5
Belgrade,Rest,2010,Rest,3251.0,5.6
Belgrade,Rest,2010,Earnings in Labor,3733.0,6.5
Belgrade,Rest,2010,Other Earnings in Labor,0.0,0.0
Voyvodina/North,Total,2010,Total Earnings,47466.0,100.0
Voyvodina/North,Total,2010,Earnings in Currency,45249.0,95.3
Voyvodina/North,Total,2010,Earnings from Orthodox Work Relations a.k.a. Job,19454.0,41.0
Voyvodina/North,Total,2010,Earnings from Unorthodox Work Relations,1736.0,3.7
Voyvodina/North,Total,2010,Pensions,15793.0,33.3
Voyvodina/North,Total,2010,Social Sequrity Earnings,1251.0,2.6
Voyvodina/North,Total,2010,"Earnings from Agricultural, Hunting and Fishing Actions",2878.0,6.1
Voyvodina/North,Total,2010,Foreign Earnings,644.0,1.4
Voyvodina/North,Total,2010,Real Estate Earnings,370.0,0.8
Voyvodina/North,Total,2010,Presents,369.0,0.8
Voyvodina/North,Total,2010,Investment Interest,1291.0,2.7
Voyvodina/North,Total,2010,Rest,1463.0,3.1
Voyvodina/North,Total,2010,Earnings in Labor,2217.0,4.7
Voyvodina/North,Total,2010,Other Earnings in Labor,72.0,0.2
Voyvodina/North,City,2010,Total Earnings,47682.0,100.0
Voyvodina/North,City,2010,Earnings in Currency,46754.0,98.1
Voyvodina/North,City,2010,Earnings from Orthodox Work Relations a.k.a. Job,21192.0,44.5
Voyvodina/North,City,2010,Earnings from Unorthodox Work Relations,1832.0,3.8
Voyvodina/North,City,2010,Pensions,17982.0,37.7
Voyvodina/North,City,2010,Social Sequrity Earnings,1218.0,2.6
Voyvodina/North,City,2010,"Earnings from Agricultural, Hunting and Fishing Actions",587.0,1.2
Voyvodina/North,City,2010,Foreign Earnings,752.0,1.6
Voyvodina/North,City,2010,Real Estate Earnings,275.0,0.6
Voyvodina/North,City,2010,Presents,371.0,0.8
Voyvodina/North,City,2010,Investment Interest,1438.0,3.0
Voyvodina/North,City,2010,Rest,1107.0,2.3
Voyvodina/North,City,2010,Earnings in Labor,928.0,1.9
Voyvodina/North,City,2010,Other Earnings in Labor,63.0,0.1
Voyvodina/North,Rest,2010,Total Earnings,47175.0,100.0
Voyvodina/North,Rest,2010,Earnings in Currency,43185.0,91.5
Voyvodina/North,Rest,2010,Earnings from Orthodox Work Relations a.k.a. Job,17068.0,36.1
Voyvodina/North,Rest,2010,Earnings from Unorthodox Work Relations,1606.0,3.4
Voyvodina/North,Rest,2010,Pensions,12787.0,27.1
Voyvodina/North,Rest,2010,Social Sequrity Earnings,1295.0,2.7
Voyvodina/North,Rest,2010,"Earnings from Agricultural, Hunting and Fishing Actions",6025.0,12.8
Voyvodina/North,Rest,2010,Foreign Earnings,496.0,1.1
Voyvodina/North,Rest,2010,Real Estate Earnings,503.0,1.1
Voyvodina/North,Rest,2010,Presents,366.0,0.8
Voyvodina/North,Rest,2010,Investment Interest,1090.0,2.3
Voyvodina/North,Rest,2010,Rest,1949.0,4.1
Voyvodina/North,Rest,2010,Earnings in Labor,3990.0,8.5
Voyvodina/North,Rest,2010,Other Earnings in Labor,86.0,0.2
Central and West,Total,2010,Total Earnings,45490.0,100.0
Central and West,Total,2010,Earnings in Currency,41326.0,90.8
Central and West,Total,2010,Earnings from Orthodox Work Relations a.k.a. Job,18811.0,41.3
Central and West,Total,2010,Earnings from Unorthodox Work Relations,525.0,1.2
Central and West,Total,2010,Pensions,13762.0,30.2
Central and West,Total,2010,Social Sequrity Earnings,991.0,2.2
Central and West,Total,2010,"Earnings from Agricultural, Hunting and Fishing Actions",3098.0,6.8
Central and West,Total,2010,Foreign Earnings,456.0,1.0
Central and West,Total,2010,Real Estate Earnings,290.0,0.6
Central and West,Total,2010,Presents,481.0,1.1
Central and West,Total,2010,Investment Interest,720.0,1.6
Central and West,Total,2010,Rest,2192.0,4.8
Central and West,Total,2010,Earnings in Labor,4164.0,9.2
Central and West,Total,2010,Other Earnings in Labor,2.0,0.0
Central and West,City,2010,Total Earnings,47689.0,100.0
Central and West,City,2010,Earnings in Currency,47295.0,99.2
Central and West,City,2010,Earnings from Orthodox Work Relations a.k.a. Job,24304.0,51.1
Central and West,City,2010,Earnings from Unorthodox Work Relations,463.0,1.0
Central and West,City,2010,Pensions,16011.0,33.6
Central and West,City,2010,Social Sequrity Earnings,1299.0,2.7
Central and West,City,2010,"Earnings from Agricultural, Hunting and Fishing Actions",148.0,0.3
Central and West,City,2010,Foreign Earnings,677.0,1.4
Central and West,City,2010,Real Estate Earnings,536.0,1.1
Central and West,City,2010,Presents,638.0,1.3
Central and West,City,2010,Investment Interest,1073.0,2.2
Central and West,City,2010,Rest,2146.0,4.5
Central and West,City,2010,Earnings in Labor,394.0,0.8
Central and West,City,2010,Other Earnings in Labor,0.0,0.0
Central and West,Rest,2010,Total Earnings,43558.0,100.0
Central and West,Rest,2010,Earnings in Currency,36041.0,82.7
Central and West,Rest,2010,Earnings from Orthodox Work Relations a.k.a. Job,13925.0,32.1
Central and West,Rest,2010,Earnings from Unorthodox Work Relations,579.0,1.3
Central and West,Rest,2010,Pensions,11762.0,27.0
Central and West,Rest,2010,Social Sequrity Earnings,716.0,1.6
Central and West,Rest,2010,"Earnings from Agricultural, Hunting and Fishing Actions",5723.0,13.1
Central and West,Rest,2010,Foreign Earnings,259.0,0.6
Central and West,Rest,2010,Real Estate Earnings,96.0,0.2
Central and West,Rest,2010,Presents,341.0,0.8
Central and West,Rest,2010,Investment Interest,405.0,0.9
Central and West,Rest,2010,Rest,2235.0,5.1
Central and West,Rest,2010,Earnings in Labor,7517.0,17.3
Central and West,Rest,2010,Other Earnings in Labor,3.0,0.0
South and East,Total,2010,Total Earnings,41461.0,100.0
South and East,Total,2010,Earnings in Currency,38458.0,92.8
South and East,Total,2010,Earnings from Orthodox Work Relations a.k.a. Job,16125.0,38.8
South and East,Total,2010,Earnings from Unorthodox Work Relations,1207.0,2.9
South and East,Total,2010,Pensions,14583.0,35.2
South and East,Total,2010,Social Sequrity Earnings,951.0,2.3
South and East,Total,2010,"Earnings from Agricultural, Hunting and Fishing Actions",622.0,1.5
South and East,Total,2010,Foreign Earnings,935.0,2.3
South and East,Total,2010,Real Estate Earnings,29.0,0.1
South and East,Total,2010,Presents,131.0,0.3
South and East,Total,2010,Investment Interest,479.0,1.2
South and East,Total,2010,Rest,3396.0,8.2
South and East,Total,2010,Earnings in Labor,3003.0,7.2
South and East,Total,2010,Other Earnings in Labor,67.0,0.2
South and East,City,2010,Total Earnings,43480.0,100.0
South and East,City,2010,Earnings in Currency,42893.0,98.6
South and East,City,2010,Earnings from Orthodox Work Relations a.k.a. Job,20740.0,47.7
South and East,City,2010,Earnings from Unorthodox Work Relations,1238.0,2.8
South and East,City,2010,Pensions,15701.0,36.1
South and East,City,2010,Social Sequrity Earnings,1055.0,2.4
South and East,City,2010,"Earnings from Agricultural, Hunting and Fishing Actions",48.0,0.1
South and East,City,2010,Foreign Earnings,805.0,1.9
South and East,City,2010,Real Estate Earnings,93.0,0.2
South and East,City,2010,Presents,201.0,0.5
South and East,City,2010,Investment Interest,792.0,1.8
South and East,City,2010,Rest,2220.0,5.1
South and East,City,2010,Earnings in Labor,587.0,1.4
South and East,City,2010,Other Earnings in Labor,53.0,0.1
South and East,Rest,2010,Total Earnings,40322.0,100.0
South and East,Rest,2010,Earnings in Currency,34908.0,86.6
South and East,Rest,2010,Earnings from Orthodox Work Relations a.k.a. Job,11523.0,28.6
South and East,Rest,2010,Earnings from Unorthodox Work Relations,1175.0,2.9
South and East,Rest,2010,Pensions,13468.0,33.4
South and East,Rest,2010,Social Sequrity Earnings,845.0,2.1
South and East,Rest,2010,"Earnings from Agricultural, Hunting and Fishing Actions",1194.0,3.0
South and East,Rest,2010,Foreign Earnings,1066.0,2.6
South and East,Rest,2010,Real Estate Earnings,841.0,2.1
South and East,Rest,2010,Presents,61.0,0.2
South and East,Rest,2010,Investment Interest,167.0,0.4
South and East,Rest,2010,Rest,4568.0,11.3
South and East,Rest,2010,Earnings in Labor,5414.0,13.4
South and East,Rest,2010,Other Earnings in Labor,82.0,0.2
State,Total,2011,Total Earnings,51641.0,100.0
State,Total,2011,Earnings in Currency,48619.0,94.1
State,Total,2011,Earnings from Orthodox Work Relations a.k.a. Job,22353.0,43.2
State,Total,2011,Earnings from Unorthodox Work Relations,1411.0,2.7
State,Total,2011,Pensions,16821.0,32.6
State,Total,2011,Social Sequrity Earnings,827.0,1.6
State,Total,2011,"Earnings from Agricultural, Hunting and Fishing Actions",1902.0,3.7
State,Total,2011,Foreign Earnings,705.0,1.4
State,Total,2011,Real Estate Earnings,685.0,1.3
State,Total,2011,Presents,554.0,1.1
State,Total,2011,Investment Interest,1103.0,2.1
State,Total,2011,Rest,2258.0,4.4
State,Total,2011,Earnings in Labor,3022.0,5.9
State,Total,2011,Other Earnings in Labor,31.0,0.1
State,City,2011,Total Earnings,54158.0,100.0
State,City,2011,Earnings in Currency,53703.0,99.2
State,City,2011,Earnings from Orthodox Work Relations a.k.a. Job,26640.0,49.2
State,City,2011,Earnings from Unorthodox Work Relations,1307.0,2.4
State,City,2011,Pensions,19601.0,36.2
State,City,2011,Social Sequrity Earnings,761.0,1.4
State,City,2011,"Earnings from Agricultural, Hunting and Fishing Actions",631.0,1.2
State,City,2011,Foreign Earnings,671.0,1.2
State,City,2011,Real Estate Earnings,756.0,1.4
State,City,2011,Presents,719.0,1.3
State,City,2011,Investment Interest,1117.0,2.1
State,City,2011,Rest,1500.0,2.8
State,City,2011,Earnings in Labor,455.0,0.8
State,City,2011,Other Earnings in Labor,35.0,0.1
State,Rest,2011,Total Earnings,47937.0,100.0
State,Rest,2011,Earnings in Currency,41225.0,86.0
State,Rest,2011,Earnings from Orthodox Work Relations a.k.a. Job,16197.0,33.6
State,Rest,2011,Earnings from Unorthodox Work Relations,1559.0,3.3
State,Rest,2011,Pensions,12829.0,26.8
State,Rest,2011,Social Sequrity Earnings,923.0,1.9
State,Rest,2011,"Earnings from Agricultural, Hunting and Fishing Actions",3726.0,7.8
State,Rest,2011,Foreign Earnings,754.0,1.6
State,Rest,2011,Real Estate Earnings,589.0,1.2
State,Rest,2011,Presents,316.0,0.7
State,Rest,2011,Investment Interest,1086.0,2.3
State,Rest,2011,Rest,3246.0,6.8
State,Rest,2011,Earnings in Labor,6712.0,14.0
State,Rest,2011,Other Earnings in Labor,25.0,0.1
Belgrade,Total,2011,Total Earnings,61736.0,100.0
Belgrade,Total,2011,Earnings in Currency,61008.0,98.8
Belgrade,Total,2011,Earnings from Orthodox Work Relations a.k.a. Job,31532.0,51.2
Belgrade,Total,2011,Earnings from Unorthodox Work Relations,1577.0,2.6
Belgrade,Total,2011,Pensions,22122.0,35.8
Belgrade,Total,2011,Social Sequrity Earnings,509.0,0.8
Belgrade,Total,2011,"Earnings from Agricultural, Hunting and Fishing Actions",204.0,0.3
Belgrade,Total,2011,Foreign Earnings,388.0,0.6
Belgrade,Total,2011,Real Estate Earnings,364.0,0.6
Belgrade,Total,2011,Presents,1065.0,1.7
Belgrade,Total,2011,Investment Interest,1375.0,2.2
Belgrade,Total,2011,Rest,1872.0,3.0
Belgrade,Total,2011,Earnings in Labor,728.0,1.2
Belgrade,Total,2011,Other Earnings in Labor,8.0,0.0
Belgrade,City,2011,Total Earnings,61396.0,100.0
Belgrade,City,2011,Earnings in Currency,61332.0,99.9
Belgrade,City,2011,Earnings from Orthodox Work Relations a.k.a. Job,32303.0,52.6
Belgrade,City,2011,Earnings from Unorthodox Work Relations,1375.0,2.2
Belgrade,City,2011,Pensions,22991.0,37.4
Belgrade,City,2011,Social Sequrity Earnings,430.0,0.7
Belgrade,City,2011,"Earnings from Agricultural, Hunting and Fishing Actions",0.0,0.0
Belgrade,City,2011,Foreign Earnings,432.0,0.7
Belgrade,City,2011,Real Estate Earnings,352.0,0.6
Belgrade,City,2011,Presents,1146.0,1.9
Belgrade,City,2011,Investment Interest,930.0,1.5
Belgrade,City,2011,Rest,1373.0,2.2
Belgrade,City,2011,Earnings in Labor,64.0,0.1
Belgrade,City,2011,Other Earnings in Labor,10.0,0.0
Belgrade,Rest,2011,Total Earnings,63459.0,100.0
Belgrade,Rest,2011,Earnings in Currency,59391.0,93.6
Belgrade,Rest,2011,Earnings from Orthodox Work Relations a.k.a. Job,27656.0,43.6
Belgrade,Rest,2011,Earnings from Unorthodox Work Relations,2594.0,4.1
Belgrade,Rest,2011,Pensions,17755.0,28.0
Belgrade,Rest,2011,Social Sequrity Earnings,910.0,1.4
Belgrade,Rest,2011,"Earnings from Agricultural, Hunting and Fishing Actions",1233.0,1.9
Belgrade,Rest,2011,Foreign Earnings,167.0,0.3
Belgrade,Rest,2011,Real Estate Earnings,432.0,0.7
Belgrade,Rest,2011,Presents,656.0,1.0
Belgrade,Rest,2011,Investment Interest,3604.0,5.7
Belgrade,Rest,2011,Rest,4384.0,6.9
Belgrade,Rest,2011,Earnings in Labor,4068.0,6.4
Belgrade,Rest,2011,Other Earnings in Labor,0.0,0.0
Voyvodina/North,Total,2011,Total Earnings,50482.0,100.0
Voyvodina/North,Total,2011,Earnings in Currency,47996.0,95.1
Voyvodina/North,Total,2011,Earnings from Orthodox Work Relations a.k.a. Job,19781.0,39.1
Voyvodina/North,Total,2011,Earnings from Unorthodox Work Relations,1931.0,3.8
Voyvodina/North,Total,2011,Pensions,16163.0,32.0
Voyvodina/North,Total,2011,Social Sequrity Earnings,1051.0,2.1
Voyvodina/North,Total,2011,"Earnings from Agricultural, Hunting and Fishing Actions",3586.0,7.1
Voyvodina/North,Total,2011,Foreign Earnings,792.0,1.6
Voyvodina/North,Total,2011,Real Estate Earnings,1425.0,2.8
Voyvodina/North,Total,2011,Presents,432.0,0.9
Voyvodina/North,Total,2011,Investment Interest,1645.0,3.3
Voyvodina/North,Total,2011,Rest,1190.0,2.4
Voyvodina/North,Total,2011,Earnings in Labor,2486.0,4.9
Voyvodina/North,Total,2011,Other Earnings in Labor,63.0,0.1
Voyvodina/North,City,2011,Total Earnings,53584.0,100.0
Voyvodina/North,City,2011,Earnings in Currency,52658.0,98.3
Voyvodina/North,City,2011,Earnings from Orthodox Work Relations a.k.a. Job,22290.0,41.6
Voyvodina/North,City,2011,Earnings from Unorthodox Work Relations,1627.0,3.0
Voyvodina/North,City,2011,Pensions,19511.0,36.4
Voyvodina/North,City,2011,Social Sequrity Earnings,981.0,1.8
Voyvodina/North,City,2011,"Earnings from Agricultural, Hunting and Fishing Actions",2174.0,4.1
Voyvodina/North,City,2011,Foreign Earnings,632.0,1.2
Voyvodina/North,City,2011,Real Estate Earnings,1805.0,3.4
Voyvodina/North,City,2011,Presents,466.0,0.9
Voyvodina/North,City,2011,Investment Interest,1860.0,3.5
Voyvodina/North,City,2011,Rest,1312.0,2.4
Voyvodina/North,City,2011,Earnings in Labor,926.0,1.7
Voyvodina/North,City,2011,Other Earnings in Labor,81.0,0.2
Voyvodina/North,Rest,2011,Total Earnings,46192.0,100.0
Voyvodina/North,Rest,2011,Earnings in Currency,41565.0,90.0
Voyvodina/North,Rest,2011,Earnings from Orthodox Work Relations a.k.a. Job,16335.0,35.3
Voyvodina/North,Rest,2011,Earnings from Unorthodox Work Relations,2347.0,5.1
Voyvodina/North,Rest,2011,Pensions,11566.0,25.0
Voyvodina/North,Rest,2011,Social Sequrity Earnings,1145.0,2.5
Voyvodina/North,Rest,2011,"Earnings from Agricultural, Hunting and Fishing Actions",5525.0,12.0
Voyvodina/North,Rest,2011,Foreign Earnings,1012.0,2.2
Voyvodina/North,Rest,2011,Real Estate Earnings,904.0,2.0
Voyvodina/North,Rest,2011,Presents,385.0,0.8
Voyvodina/North,Rest,2011,Investment Interest,1349.0,2.9
Voyvodina/North,Rest,2011,Rest,997.0,2.2
Voyvodina/North,Rest,2011,Earnings in Labor,4627.0,10.0
Voyvodina/North,Rest,2011,Other Earnings in Labor,39.0,0.1
Central and West,Total,2011,Total Earnings,50089.0,100.0
Central and West,Total,2011,Earnings in Currency,45044.0,89.9
Central and West,Total,2011,Earnings from Orthodox Work Relations a.k.a. Job,20915.0,41.7
Central and West,Total,2011,Earnings from Unorthodox Work Relations,1095.0,2.2
Central and West,Total,2011,Pensions,14999.0,29.9
Central and West,Total,2011,Social Sequrity Earnings,938.0,1.9
Central and West,Total,2011,"Earnings from Agricultural, Hunting and Fishing Actions",2436.0,4.9
Central and West,Total,2011,Foreign Earnings,727.0,1.5
Central and West,Total,2011,Real Estate Earnings,173.0,0.3
Central and West,Total,2011,Presents,627.0,1.3
Central and West,Total,2011,Investment Interest,963.0,1.9
Central and West,Total,2011,Rest,2171.0,4.3
Central and West,Total,2011,Earnings in Labor,5045.0,10.1
Central and West,Total,2011,Other Earnings in Labor,0.0,0.0
Central and West,City,2011,Total Earnings,50568.0,100.0
Central and West,City,2011,Earnings in Currency,50156.0,99.2
Central and West,City,2011,Earnings from Orthodox Work Relations a.k.a. Job,25902.0,51.3
Central and West,City,2011,Earnings from Unorthodox Work Relations,1271.0,2.5
Central and West,City,2011,Pensions,17711.0,35.0
Central and West,City,2011,Social Sequrity Earnings,903.0,1.8
Central and West,City,2011,"Earnings from Agricultural, Hunting and Fishing Actions",161.0,0.3
Central and West,City,2011,Foreign Earnings,1036.0,2.0
Central and West,City,2011,Real Estate Earnings,276.0,0.5
Central and West,City,2011,Presents,888.0,1.8
Central and West,City,2011,Investment Interest,1094.0,2.2
Central and West,City,2011,Rest,914.0,1.8
Central and West,City,2011,Earnings in Labor,412.0,0.8
Central and West,City,2011,Other Earnings in Labor,0.0,0.0
Central and West,Rest,2011,Total Earnings,49404.0,100.0
Central and West,Rest,2011,Earnings in Currency,40233.0,81.4
Central and West,Rest,2011,Earnings from Orthodox Work Relations a.k.a. Job,16479.0,33.3
Central and West,Rest,2011,Earnings from Unorthodox Work Relations,939.0,1.9
Central and West,Rest,2011,Pensions,12588.0,25.5
Central and West,Rest,2011,Social Sequrity Earnings,967.0,2.0
Central and West,Rest,2011,"Earnings from Agricultural, Hunting and Fishing Actions",4459.0,9.0
Central and West,Rest,2011,Foreign Earnings,452.0,0.9
Central and West,Rest,2011,Real Estate Earnings,81.0,0.2
Central and West,Rest,2011,Presents,396.0,0.8
Central and West,Rest,2011,Investment Interest,846.0,1.7
Central and West,Rest,2011,Rest,3026.0,6.1
Central and West,Rest,2011,Earnings in Labor,9171.0,18.6
Central and West,Rest,2011,Other Earnings in Labor,0.0,0.0
South and East,Total,2011,Total Earnings,44768.0,100.0
South and East,Total,2011,Earnings in Currency,41206.0,92.0
South and East,Total,2011,Earnings from Orthodox Work Relations a.k.a. Job,18003.0,40.1
South and East,Total,2011,Earnings from Unorthodox Work Relations,980.0,2.2
South and East,Total,2011,Pensions,14483.0,32.4
South and East,Total,2011,Social Sequrity Earnings,742.0,1.7
South and East,Total,2011,"Earnings from Agricultural, Hunting and Fishing Actions",889.0,2.0
South and East,Total,2011,Foreign Earnings,892.0,2.0
South and East,Total,2011,Real Estate Earnings,717.0,1.6
South and East,Total,2011,Presents,99.0,0.2
South and East,Total,2011,Investment Interest,332.0,0.7
South and East,Total,2011,Rest,4069.0,9.1
South and East,Total,2011,Earnings in Labor,3562.0,8.0
South and East,Total,2011,Other Earnings in Labor,51.0,0.1
South and East,City,2011,Total Earnings,46850.0,100.0
South and East,City,2011,Earnings in Currency,46363.0,99.0
South and East,City,2011,Earnings from Orthodox Work Relations a.k.a. Job,24161.0,51.6
South and East,City,2011,Earnings from Unorthodox Work Relations,776.0,1.7
South and East,City,2011,Pensions,16166.0,34.5
South and East,City,2011,Social Sequrity Earnings,840.0,1.8
South and East,City,2011,"Earnings from Agricultural, Hunting and Fishing Actions",20.0,0.0
South and East,City,2011,Foreign Earnings,717.0,1.5
South and East,City,2011,Real Estate Earnings,473.0,1.0
South and East,City,2011,Presents,168.0,0.4
South and East,City,2011,Investment Interest,388.0,0.8
South and East,City,2011,Rest,2654.0,5.7
South and East,City,2011,Earnings in Labor,487.0,1.0
South and East,City,2011,Other Earnings in Labor,53.0,0.1
South and East,Rest,2011,Total Earnings,42684.0,100.0
South and East,Rest,2011,Earnings in Currency,36058.0,84.5
South and East,Rest,2011,Earnings from Orthodox Work Relations a.k.a. Job,11862.0,27.9
South and East,Rest,2011,Earnings from Unorthodox Work Relations,1185.0,2.8
South and East,Rest,2011,Pensions,12805.0,30.0
South and East,Rest,2011,Social Sequrity Earnings,642.0,1.5
South and East,Rest,2011,"Earnings from Agricultural, Hunting and Fishing Actions",1754.0,4.1
South and East,Rest,2011,Foreign Earnings,1066.0,2.5
South and East,Rest,2011,Real Estate Earnings,959.0,2.2
South and East,Rest,2011,Presents,30.0,0.1
South and East,Rest,2011,Investment Interest,274.0,0.6
South and East,Rest,2011,Rest,5481.0,12.8
South and East,Rest,2011,Earnings in Labor,6626.0,15.5
South and East,Rest,2011,Other Earnings in Labor,49.0,0.1
State,Total,2012,Total Earnings,51504.0,100.0
State,Total,2012,Earnings in Currency,48563.0,94.3
State,Total,2012,Earnings from Orthodox Work Relations a.k.a. Job,21237.0,41.3
State,Total,2012,Earnings from Unorthodox Work Relations,1452.0,2.8
State,Total,2012,Pensions,18378.0,35.8
State,Total,2012,Social Sequrity Earnings,1138.0,2.2
State,Total,2012,"Earnings from Agricultural, Hunting and Fishing Actions",1776.0,3.4
State,Total,2012,Foreign Earnings,835.0,1.6
State,Total,2012,Real Estate Earnings,213.0,0.4
State,Total,2012,Presents,540.0,1.0
State,Total,2012,Investment Interest,600.0,1.2
State,Total,2012,Rest,2394.0,4.6
State,Total,2012,Earnings in Labor,2941.0,5.7
State,Total,2012,Other Earnings in Labor,27.0,0.1
State,City,2012,Total Earnings,53666.0,100.0
State,City,2012,Earnings in Currency,53174.0,99.1
State,City,2012,Earnings from Orthodox Work Relations a.k.a. Job,24881.0,46.4
State,City,2012,Earnings from Unorthodox Work Relations,1562.0,2.9
State,City,2012,Pensions,21008.0,39.1
State,City,2012,Social Sequrity Earnings,1063.0,2.0
State,City,2012,"Earnings from Agricultural, Hunting and Fishing Actions",464.0,0.9
State,City,2012,Foreign Earnings,694.0,1.3
State,City,2012,Real Estate Earnings,274.0,0.5
State,City,2012,Presents,735.0,1.4
State,City,2012,Investment Interest,654.0,1.2
State,City,2012,Rest,1839.0,3.4
State,City,2012,Earnings in Labor,492.0,0.9
State,City,2012,Other Earnings in Labor,4.0,0.0
State,Rest,2012,Total Earnings,48399.0,100.0
State,Rest,2012,Earnings in Currency,41940.0,86.7
State,Rest,2012,Earnings from Orthodox Work Relations a.k.a. Job,16006.0,33.0
State,Rest,2012,Earnings from Unorthodox Work Relations,1294.0,2.7
State,Rest,2012,Pensions,14602.0,30.2
State,Rest,2012,Social Sequrity Earnings,1243.0,2.6
State,Rest,2012,"Earnings from Agricultural, Hunting and Fishing Actions",3661.0,7.6
State,Rest,2012,Foreign Earnings,1037.0,2.1
State,Rest,2012,Real Estate Earnings,123.0,0.3
State,Rest,2012,Presents,261.0,0.5
State,Rest,2012,Investment Interest,522.0,1.1
State,Rest,2012,Rest,3191.0,6.6
State,Rest,2012,Earnings in Labor,6459.0,13.3
State,Rest,2012,Other Earnings in Labor,59.0,0.1
Belgrade,Total,2012,Total Earnings,59898.0,100.0
Belgrade,Total,2012,Earnings in Currency,59444.0,99.2
Belgrade,Total,2012,Earnings from Orthodox Work Relations a.k.a. Job,28259.0,47.1
Belgrade,Total,2012,Earnings from Unorthodox Work Relations,1253.0,2.1
Belgrade,Total,2012,Pensions,23499.0,39.1
Belgrade,Total,2012,Social Sequrity Earnings,846.0,1.4
Belgrade,Total,2012,"Earnings from Agricultural, Hunting and Fishing Actions",335.0,0.6
Belgrade,Total,2012,Foreign Earnings,515.0,0.9
Belgrade,Total,2012,Real Estate Earnings,159.0,0.3
Belgrade,Total,2012,Presents,1352.0,2.3
Belgrade,Total,2012,Investment Interest,689.0,1.2
Belgrade,Total,2012,Rest,2537.0,4.2
Belgrade,Total,2012,Earnings in Labor,454.0,0.8
Belgrade,Total,2012,Other Earnings in Labor,0.0,0.0
Belgrade,City,2012,Total Earnings,60250.0,100.0
Belgrade,City,2012,Earnings in Currency,60168.0,99.9
Belgrade,City,2012,Earnings from Orthodox Work Relations a.k.a. Job,28892.0,48.1
Belgrade,City,2012,Earnings from Unorthodox Work Relations,1408.0,2.3
Belgrade,City,2012,Pensions,23853.0,39.6
Belgrade,City,2012,Social Sequrity Earnings,903.0,1.5
Belgrade,City,2012,"Earnings from Agricultural, Hunting and Fishing Actions",19.0,0.0
Belgrade,City,2012,Foreign Earnings,602.0,1.0
Belgrade,City,2012,Real Estate Earnings,171.0,0.3
Belgrade,City,2012,Presents,1510.0,2.5
Belgrade,City,2012,Investment Interest,564.0,0.9
Belgrade,City,2012,Rest,2246.0,3.7
Belgrade,City,2012,Earnings in Labor,82.0,0.1
Belgrade,City,2012,Other Earnings in Labor,0.0,0.0
Belgrade,Rest,2012,Total Earnings,58137.0,100.0
Belgrade,Rest,2012,Earnings in Currency,55813.0,96.0
Belgrade,Rest,2012,Earnings from Orthodox Work Relations a.k.a. Job,25080.0,43.0
Belgrade,Rest,2012,Earnings from Unorthodox Work Relations,472.0,0.8
Belgrade,Rest,2012,Pensions,21717.0,37.4
Belgrade,Rest,2012,Social Sequrity Earnings,559.0,1.0
Belgrade,Rest,2012,"Earnings from Agricultural, Hunting and Fishing Actions",1929.0,3.3
Belgrade,Rest,2012,Foreign Earnings,80.0,0.1
Belgrade,Rest,2012,Real Estate Earnings,100.0,0.2
Belgrade,Rest,2012,Presents,556.0,1.0
Belgrade,Rest,2012,Investment Interest,1318.0,2.3
Belgrade,Rest,2012,Rest,4002.0,6.9
Belgrade,Rest,2012,Earnings in Labor,2324.0,4.0
Belgrade,Rest,2012,Other Earnings in Labor,0.0,0.0
Voyvodina/North,Total,2012,Total Earnings,52544.0,100.0
Voyvodina/North,Total,2012,Earnings in Currency,49838.0,94.9
Voyvodina/North,Total,2012,Earnings from Orthodox Work Relations a.k.a. Job,21197.0,40.3
Voyvodina/North,Total,2012,Earnings from Unorthodox Work Relations,2453.0,4.7
Voyvodina/North,Total,2012,Pensions,17854.0,34.0
Voyvodina/North,Total,2012,Social Sequrity Earnings,1484.0,2.8
Voyvodina/North,Total,2012,"Earnings from Agricultural, Hunting and Fishing Actions",3292.0,6.3
Voyvodina/North,Total,2012,Foreign Earnings,834.0,1.6
Voyvodina/North,Total,2012,Real Estate Earnings,307.0,0.6
Voyvodina/North,Total,2012,Presents,397.0,0.8
Voyvodina/North,Total,2012,Investment Interest,793.0,1.5
Voyvodina/North,Total,2012,Rest,1227.0,2.3
Voyvodina/North,Total,2012,Earnings in Labor,2706.0,5.1
Voyvodina/North,Total,2012,Other Earnings in Labor,46.0,0.1
Voyvodina/North,City,2012,Total Earnings,53150.0,100.0
Voyvodina/North,City,2012,Earnings in Currency,52045.0,97.9
Voyvodina/North,City,2012,Earnings from Orthodox Work Relations a.k.a. Job,23695.0,44.5
