Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
Belgrade,Rest,2007,Other Earnings in Labor,14.0,0.0
Voyvodina/North,Total,2007,Total Earnings,35614.0,100.0
Voyvodina/North,Total,2007,Earnings in Currency,33584.0,94.3
Voyvodina/North,Total,2007,Earnings from Orthodox Work Relations a.k.a. Job,15120.0,42.5
Voyvodina/North,Total,2007,Earnings from Unorthodox Work Relations,1395.0,3.9
Voyvodina/North,Total,2007,Pensions,9335.0,26.2
Voyvodina/North,Total,2007,Social Sequrity Earnings,827.0,2.3
Voyvodina/North,Total,2007,"Earnings from Agricultural, Hunting and Fishing Actions",1503.0,4.2
Voyvodina/North,Total,2007,Foreign Earnings,559.0,1.6
Voyvodina/North,Total,2007,Real Estate Earnings,1212.0,3.4
Voyvodina/North,Total,2007,Presents,127.0,0.4
Voyvodina/North,Total,2007,Investment Interest,2457.0,6.9
Voyvodina/North,Total,2007,Rest,1049.0,2.9
Voyvodina/North,Total,2007,Earnings in Labor,2030.0,5.7
Voyvodina/North,Total,2007,Other Earnings in Labor,18.0,0.1
Voyvodina/North,City,2007,Total Earnings,38865.0,100.0
Voyvodina/North,City,2007,Earnings in Currency,37892.0,97.5
Voyvodina/North,City,2007,Earnings from Orthodox Work Relations a.k.a. Job,17805.0,45.8
Voyvodina/North,City,2007,Earnings from Unorthodox Work Relations,1230.0,3.2
Voyvodina/North,City,2007,Pensions,10943.0,28.2
Voyvodina/North,City,2007,Social Sequrity Earnings,800.0,2.1
Voyvodina/North,City,2007,"Earnings from Agricultural, Hunting and Fishing Actions",987.0,2.5
Voyvodina/North,City,2007,Foreign Earnings,438.0,1.1
Voyvodina/North,City,2007,Real Estate Earnings,1501.0,3.9
Voyvodina/North,City,2007,Presents,132.0,0.3
Voyvodina/North,City,2007,Investment Interest,3152.0,8.1
Voyvodina/North,City,2007,Rest,904.0,2.3
Voyvodina/North,City,2007,Earnings in Labor,973.0,2.5
Voyvodina/North,City,2007,Other Earnings in Labor,23.0,0.1
Voyvodina/North,Rest,2007,Total Earnings,31166.0,100.0
Voyvodina/North,Rest,2007,Earnings in Currency,27682.0,88.8
Voyvodina/North,Rest,2007,Earnings from Orthodox Work Relations a.k.a. Job,11434.0,36.7
Voyvodina/North,Rest,2007,Earnings from Unorthodox Work Relations,1623.0,5.2
Voyvodina/North,Rest,2007,Pensions,7128.0,22.9
Voyvodina/North,Rest,2007,Social Sequrity Earnings,869.0,2.8
Voyvodina/North,Rest,2007,"Earnings from Agricultural, Hunting and Fishing Actions",2212.0,7.1
Voyvodina/North,Rest,2007,Foreign Earnings,725.0,2.3
Voyvodina/North,Rest,2007,Real Estate Earnings,820.0,2.6
Voyvodina/North,Rest,2007,Presents,120.0,0.4
Voyvodina/North,Rest,2007,Investment Interest,1502.0,4.8
Voyvodina/North,Rest,2007,Rest,1249.0,4.0
Voyvodina/North,Rest,2007,Earnings in Labor,3484.0,11.2
Voyvodina/North,Rest,2007,Other Earnings in Labor,12.0,0.1
Central and West,Total,2007,Total Earnings,37495.0,100.0
Central and West,Total,2007,Earnings in Currency,33950.0,90.5
Central and West,Total,2007,Earnings from Orthodox Work Relations a.k.a. Job,16291.0,43.4
Central and West,Total,2007,Earnings from Unorthodox Work Relations,410.0,1.1
Central and West,Total,2007,Pensions,9598.0,25.6
Central and West,Total,2007,Social Sequrity Earnings,745.0,2.0
Central and West,Total,2007,"Earnings from Agricultural, Hunting and Fishing Actions",2078.0,5.5
Central and West,Total,2007,Foreign Earnings,575.0,1.5
Central and West,Total,2007,Real Estate Earnings,997.0,2.7
Central and West,Total,2007,Presents,372.0,1.0
Central and West,Total,2007,Investment Interest,681.0,1.8
Central and West,Total,2007,Rest,2203.0,5.9
Central and West,Total,2007,Earnings in Labor,3545.0,9.5
Central and West,Total,2007,Other Earnings in Labor,36.0,0.1
Central and West,City,2007,Total Earnings,38686.0,100.0
Central and West,City,2007,Earnings in Currency,38311.0,99.0
Central and West,City,2007,Earnings from Orthodox Work Relations a.k.a. Job,21375.0,55.2
Central and West,City,2007,Earnings from Unorthodox Work Relations,503.0,1.3
Central and West,City,2007,Pensions,11516.0,29.7
Central and West,City,2007,Social Sequrity Earnings,775.0,2.0
Central and West,City,2007,"Earnings from Agricultural, Hunting and Fishing Actions",392.0,1.0
Central and West,City,2007,Foreign Earnings,302.0,0.8
Central and West,City,2007,Real Estate Earnings,333.0,0.9
Central and West,City,2007,Presents,378.0,1.0
Central and West,City,2007,Investment Interest,999.0,2.6
Central and West,City,2007,Rest,1738.0,4.5
Central and West,City,2007,Earnings in Labor,375.0,1.0
Central and West,City,2007,Other Earnings in Labor,59.0,0.2
Central and West,Rest,2007,Total Earnings,36419.0,100.0
Central and West,Rest,2007,Earnings in Currency,30054.0,82.5
Central and West,Rest,2007,Earnings from Orthodox Work Relations a.k.a. Job,11770.0,32.3
Central and West,Rest,2007,Earnings from Unorthodox Work Relations,327.0,0.9
Central and West,Rest,2007,Pensions,7892.0,21.7
Central and West,Rest,2007,Social Sequrity Earnings,716.0,2.0
Central and West,Rest,2007,"Earnings from Agricultural, Hunting and Fishing Actions",3577.0,9.8
Central and West,Rest,2007,Foreign Earnings,817.0,2.2
Central and West,Rest,2007,Real Estate Earnings,1589.0,4.4
Central and West,Rest,2007,Presents,367.0,1.0
Central and West,Rest,2007,Investment Interest,401.0,1.1
Central and West,Rest,2007,Rest,2598.0,7.1
Central and West,Rest,2007,Earnings in Labor,6365.0,17.5
Central and West,Rest,2007,Other Earnings in Labor,17.0,0.1
South and East,Total,2007,Total Earnings,34924.0,100.0
South and East,Total,2007,Earnings in Currency,31990.0,91.6
South and East,Total,2007,Earnings from Orthodox Work Relations a.k.a. Job,14274.0,40.8
South and East,Total,2007,Earnings from Unorthodox Work Relations,1212.0,3.5
South and East,Total,2007,Pensions,9994.0,28.6
South and East,Total,2007,Social Sequrity Earnings,666.0,1.9
South and East,Total,2007,"Earnings from Agricultural, Hunting and Fishing Actions",762.0,2.2
South and East,Total,2007,Foreign Earnings,693.0,2.0
South and East,Total,2007,Real Estate Earnings,828.0,2.4
South and East,Total,2007,Presents,223.0,0.6
South and East,Total,2007,Investment Interest,552.0,1.6
South and East,Total,2007,Rest,2786.0,8.0
South and East,Total,2007,Earnings in Labor,2934.0,8.4
South and East,Total,2007,Other Earnings in Labor,40.0,0.1
South and East,City,2007,Total Earnings,37542.0,100.0
South and East,City,2007,Earnings in Currency,37181.0,99.0
South and East,City,2007,Earnings from Orthodox Work Relations a.k.a. Job,19514.0,52.0
South and East,City,2007,Earnings from Unorthodox Work Relations,1021.0,2.7
South and East,City,2007,Pensions,11462.0,30.5
South and East,City,2007,Social Sequrity Earnings,758.0,2.0
South and East,City,2007,"Earnings from Agricultural, Hunting and Fishing Actions",41.0,0.1
South and East,City,2007,Foreign Earnings,401.0,1.1
South and East,City,2007,Real Estate Earnings,838.0,2.2
South and East,City,2007,Presents,329.0,0.9
South and East,City,2007,Investment Interest,709.0,1.9
South and East,City,2007,Rest,2108.0,5.6
South and East,City,2007,Earnings in Labor,361.0,1.0
South and East,City,2007,Other Earnings in Labor,1.0,0.0
South and East,Rest,2007,Total Earnings,32261.0,100.0
South and East,Rest,2007,Earnings in Currency,26756.0,82.9
South and East,Rest,2007,Earnings from Orthodox Work Relations a.k.a. Job,9047.0,28.0
South and East,Rest,2007,Earnings from Unorthodox Work Relations,1404.0,4.4
South and East,Rest,2007,Pensions,8530.0,26.4
South and East,Rest,2007,Social Sequrity Earnings,574.0,1.8
South and East,Rest,2007,"Earnings from Agricultural, Hunting and Fishing Actions",1482.0,4.6
South and East,Rest,2007,Foreign Earnings,984.0,3.1
South and East,Rest,2007,Real Estate Earnings,819.0,2.5
South and East,Rest,2007,Presents,118.0,0.4
South and East,Rest,2007,Investment Interest,395.0,1.2
South and East,Rest,2007,Rest,3403.0,10.5
South and East,Rest,2007,Earnings in Labor,5505.0,17.1
South and East,Rest,2007,Other Earnings in Labor,80.0,0.2
State,Total,2008,Total Earnings,43518.0,100.0
State,Total,2008,Earnings in Currency,41228.0,94.7
State,Total,2008,Earnings from Orthodox Work Relations a.k.a. Job,21953.0,50.3
State,Total,2008,Earnings from Unorthodox Work Relations,1221.0,2.8
State,Total,2008,Pensions,11956.0,27.5
State,Total,2008,Social Sequrity Earnings,740.0,1.7
State,Total,2008,"Earnings from Agricultural, Hunting and Fishing Actions",1662.0,3.8
State,Total,2008,Foreign Earnings,546.0,1.3
State,Total,2008,Real Estate Earnings,241.0,0.6
State,Total,2008,Presents,418.0,1.0
State,Total,2008,Investment Interest,605.0,1.4
State,Total,2008,Rest,1886.0,4.3
State,Total,2008,Earnings in Labor,2290.0,5.3
State,Total,2008,Other Earnings in Labor,38.0,0.1
State,City,2008,Total Earnings,46236.0,100.0
State,City,2008,Earnings in Currency,45829.0,99.1
State,City,2008,Earnings from Orthodox Work Relations a.k.a. Job,26667.0,57.7
State,City,2008,Earnings from Unorthodox Work Relations,1135.0,2.5
State,City,2008,Pensions,13662.0,29.5
