Month,Year,Activity,ProductionIndex
1,2006,Leather and Leater Item Production,138.5
1,2006,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",114.0
1,2006,Paper and Paper Products Production,47.6
1,2006,Printing and Duplication of Audio and Video Material,64.8
1,2006,Coke and Refined Petroleum Production,103.9
1,2006,Chemicals and Chemical Products Production,86.7
1,2006,Basic Pharmaceutical Products and Remedies Production,51.1
1,2006,Rubber and Plastic Production,83.4
1,2006,Manufacture of Other Non-metallic Minerals Products,69.3
1,2006,Base Metals Production,129.1
1,2006,"Fabricated Metal Products Production, Except Machinery and Equipment",79.0
1,2006,"Computer, Electronic and Optical Products Production",201.9
1,2006,Electrical Equipment Production,37.1
1,2006,Unmentioned Machinery and Equipment Production,144.4
1,2006,"Motor Vehicles, Trailers and Semi-trailer Production",38.0
1,2006,Other Transport Equipment Production,205.4
1,2006,Furniture Production,117.1
1,2006,Other Manufacturing,51.1
1,2006,Repair and Installation of Machinery Equipment,181.1
1,2006,"Electricity, Gas, Steam and Air Conditioning Supply",110.3
1,2006,B - Mining,83.4
1,2006,C - Manufacturing Industry,75.9
1,2006,"D - Electricity, Gas, Steam and Air Conditioning Supply",110.3
1,2007,Total,92.8
1,2007,Coal Exploitation,112.7
1,2007,Oil and Natural Gas Exploitation,58.2
1,2007,Metal Ore Exploitation,51.7
1,2007,Other Types of Mining,73.0
1,2007,Food Products Production,88.8
1,2007,Drink Production,82.0
1,2007,Tobacoo Products Production,49.7
1,2007,Textile Production,153.5
1,2007,Clothing Production,112.7
1,2007,Leather and Leater Item Production,141.1
1,2007,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",147.2
1,2007,Paper and Paper Products Production,66.2
1,2007,Printing and Duplication of Audio and Video Material,66.7
1,2007,Coke and Refined Petroleum Production,93.5
1,2007,Chemicals and Chemical Products Production,105.3
1,2007,Basic Pharmaceutical Products and Remedies Production,55.6
1,2007,Rubber and Plastic Production,82.5
1,2007,Manufacture of Other Non-metallic Minerals Products,90.9
1,2007,Base Metals Production,182.7
1,2007,"Fabricated Metal Products Production, Except Machinery and Equipment",94.6
1,2007,"Computer, Electronic and Optical Products Production",177.8
1,2007,Electrical Equipment Production,50.1
1,2007,Unmentioned Machinery and Equipment Production,105.7
1,2007,"Motor Vehicles, Trailers and Semi-trailer Production",56.0
1,2007,Other Transport Equipment Production,201.5
1,2007,Furniture Production,212.5
1,2007,Other Manufacturing,83.2
1,2007,Repair and Installation of Machinery Equipment,183.0
1,2007,"Electricity, Gas, Steam and Air Conditioning Supply",114.5
1,2007,B - Mining,90.1
1,2007,C - Manufacturing Industry,88.1
1,2007,"D - Electricity, Gas, Steam and Air Conditioning Supply",114.5
1,2008,Total,96.7
1,2008,Coal Exploitation,120.8
1,2008,Oil and Natural Gas Exploitation,55.6
1,2008,Metal Ore Exploitation,52.4
1,2008,Other Types of Mining,61.1
1,2008,Food Products Production,90.9
1,2008,Drink Production,78.7
1,2008,Tobacoo Products Production,57.1
1,2008,Textile Production,121.4
1,2008,Clothing Production,119.0
1,2008,Leather and Leater Item Production,154.9
1,2008,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",105.9
1,2008,Paper and Paper Products Production,68.5
1,2008,Printing and Duplication of Audio and Video Material,79.5
1,2008,Coke and Refined Petroleum Production,91.9
1,2008,Chemicals and Chemical Products Production,108.7
1,2008,Basic Pharmaceutical Products and Remedies Production,66.8
1,2008,Rubber and Plastic Production,85.6
1,2008,Manufacture of Other Non-metallic Minerals Products,79.8
1,2008,Base Metals Production,187.7
1,2008,"Fabricated Metal Products Production, Except Machinery and Equipment",113.6
1,2008,"Computer, Electronic and Optical Products Production",149.3
1,2008,Electrical Equipment Production,62.3
1,2008,Unmentioned Machinery and Equipment Production,127.8
1,2008,"Motor Vehicles, Trailers and Semi-trailer Production",48.5
1,2008,Other Transport Equipment Production,131.8
1,2008,Furniture Production,179.4
1,2008,Other Manufacturing,88.3
1,2008,Repair and Installation of Machinery Equipment,163.9
1,2008,"Electricity, Gas, Steam and Air Conditioning Supply",124.7
1,2008,B - Mining,93.3
1,2008,C - Manufacturing Industry,90.6
1,2008,"D - Electricity, Gas, Steam and Air Conditioning Supply",124.7
1,2009,Total,80.1
1,2009,Coal Exploitation,109.1
1,2009,Oil and Natural Gas Exploitation,56.6
1,2009,Metal Ore Exploitation,88.1
1,2009,Other Types of Mining,31.0
1,2009,Food Products Production,76.7
1,2009,Drink Production,71.7
1,2009,Tobacoo Products Production,47.1
1,2009,Textile Production,69.5
1,2009,Clothing Production,96.8
1,2009,Leather and Leater Item Production,122.1
1,2009,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",50.4
1,2009,Paper and Paper Products Production,59.1
1,2009,Printing and Duplication of Audio and Video Material,74.6
1,2009,Coke and Refined Petroleum Production,92.5
1,2009,Chemicals and Chemical Products Production,62.1
1,2009,Basic Pharmaceutical Products and Remedies Production,60.2
1,2009,Rubber and Plastic Production,62.0
