Year,Q,Action,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
1999,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.0,1700.7,-18.0,13057.2
1999,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.9,6822.3,0.2,73067.9
1999,Q3,R-T - Other Service Activities,2.7,1577.9,-7.2,11200.5
1999,Q3,Total,91.7,52693.2,-7.7,430973.1
1999,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.1,6388.4,-18.4,51914.4
1999,Q4,"A - Agriculture, Forestry and Fishing",17.6,13182.0,-3.5,62334.6
1999,Q4,"B-E - Manufacturing, Mining and Other Industries",30.3,22751.6,-10.2,151664.4
1999,Q4,F - Construction,4.5,3354.1,13.7,14050.2
1999,Q4,J - Informing and Communication,1.5,1106.0,5.5,7588.8
1999,Q4,K - Financial and Insurance Activities,0.6,481.7,-55.0,5232.1
1999,Q4,L - Real Estate Business,9.9,7426.0,0.5,64109.3
1999,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.0,2228.6,-3.5,15593.4
1999,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.9,8196.4,-4.2,73975.8
1999,Q4,R-T - Other Service Activities,2.4,1809.9,-3.0,11735.5
1999,Q4,Total,92.3,69278.9,-5.8,477218.1
1999,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.7,8742.5,-11.7,57976.0
2000,Q1,"A - Agriculture, Forestry and Fishing",17.5,13359.1,-0.1,38989.1
2000,Q1,"B-E - Manufacturing, Mining and Other Industries",33.0,25152.0,-2.7,139816.0
2000,Q1,F - Construction,2.1,1618.5,-22.3,7206.2
2000,Q1,J - Informing and Communication,1.5,1164.3,13.0,8254.4
2000,Q1,K - Financial and Insurance Activities,1.3,1002.1,0.9,9727.9
2000,Q1,L - Real Estate Business,9.1,6910.4,2.9,62238.3
2000,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.7,2849.3,25.4,18871.9
2000,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.6,8846.1,7.5,72823.7
2000,Q1,R-T - Other Service Activities,2.5,1899.7,2.4,11908.0
2000,Q1,Total,94.0,71571.4,-0.2,414128.3
2000,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.5,8769.8,-9.7,51465.4
2000,Q2,"A - Agriculture, Forestry and Fishing",15.8,14849.7,-5.9,43166.1
2000,Q2,"B-E - Manufacturing, Mining and Other Industries",33.7,31584.0,74.6,146310.7
2000,Q2,F - Construction,2.9,2695.0,42.2,10675.4
2000,Q2,J - Informing and Communication,1.5,1363.9,29.2,8736.0
2000,Q2,K - Financial and Insurance Activities,1.8,1646.5,78.8,14565.8
