Year,Q,Action,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
2009,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.9,98486.3,1.7,97641.0
2009,Q4,R-T - Other Service Activities,2.8,22880.7,-5.4,23230.7
2009,Q4,Total,83.3,688205.2,-2.4,715961.7
2009,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.3,125963.3,-1.9,134241.4
2010,Q1,"A - Agriculture, Forestry and Fishing",6.0,42102.0,3.4,42174.1
2010,Q1,"B-E - Manufacturing, Mining and Other Industries",22.3,158007.2,-0.4,168184.5
2010,Q1,F - Construction,2.2,15649.3,-20.0,16876.8
2010,Q1,J - Informing and Communication,4.2,29953.5,3.3,30424.4
2010,Q1,K - Financial and Insurance Activities,3.3,23079.5,4.8,23407.6
2010,Q1,L - Real Estate Business,9.4,66475.8,0.1,70422.4
2010,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.0,42432.9,0.6,43853.0
2010,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.6,88816.5,4.4,92214.5
2010,Q1,R-T - Other Service Activities,3.1,21724.8,-6.3,22931.4
2010,Q1,Total,84.6,598150.5,0.3,624641.7
2010,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.5,109909.0,-0.8,114227.2
2010,Q2,"A - Agriculture, Forestry and Fishing",5.6,44388.5,-1.1,47587.3
2010,Q2,"B-E - Manufacturing, Mining and Other Industries",21.9,173225.8,3.3,174462.3
2010,Q2,F - Construction,3.3,25930.7,-12.7,26519.0
2010,Q2,J - Informing and Communication,3.9,30648.7,0.6,30930.1
2010,Q2,K - Financial and Insurance Activities,3.1,24157.1,5.8,24439.0
2010,Q2,L - Real Estate Business,8.8,69893.4,-0.7,71387.6
2010,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.5,43083.6,0.6,43599.6
2010,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.9,94113.3,4.2,95679.9
2010,Q2,R-T - Other Service Activities,2.8,22118.6,-8.8,22397.5
2010,Q2,Total,82.9,655000.7,1.0,665571.8
2010,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.1,127441.1,1.6,128880.8
2010,Q3,"A - Agriculture, Forestry and Fishing",7.4,62728.7,-2.9,64178.5
2010,Q3,"B-E - Manufacturing, Mining and Other Industries",21.8,184936.9,1.6,181415.6
2010,Q3,F - Construction,3.7,31381.8,-5.0,31121.3
2010,Q3,J - Informing and Communication,3.7,31575.8,3.7,31585.3
2010,Q3,K - Financial and Insurance Activities,2.8,24104.7,7.6,23942.2
2010,Q3,L - Real Estate Business,8.8,74729.4,-0.9,72577.3
2010,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.2,44156.3,2.1,43797.3
2010,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.3,95614.0,4.5,96027.1
2010,Q3,R-T - Other Service Activities,2.7,22689.0,-8.2,22331.0
2010,Q3,Total,83.6,709192.8,1.4,703589.1
2010,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.2,137276.2,4.6,136175.1
2010,Q4,"A - Agriculture, Forestry and Fishing",7.2,65399.0,0.3,60678.5
2010,Q4,"B-E - Manufacturing, Mining and Other Industries",21.6,194984.9,-3.0,187092.3
2010,Q4,F - Construction,4.2,37853.1,2.5,36297.7
2010,Q4,J - Informing and Communication,3.6,32789.7,3.8,32028.0
2010,Q4,K - Financial and Insurance Activities,2.7,24835.5,8.4,24388.0
2010,Q4,L - Real Estate Business,8.5,76626.4,-0.6,73337.8
2010,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.1,46175.8,1.2,44598.6
2010,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.9,107428.2,4.5,102050.4
2010,Q4,R-T - Other Service Activities,2.6,23800.0,-2.4,22672.4
2010,Q4,Total,83.4,754645.7,1.0,723187.2
2010,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.0,144753.1,4.4,140096.3
2011,Q1,"A - Agriculture, Forestry and Fishing",6.8,55383.6,-1.3,41619.8
2011,Q1,"B-E - Manufacturing, Mining and Other Industries",23.7,193037.0,6.2,178568.9
2011,Q1,F - Construction,2.0,16361.2,-3.0,16364.4
2011,Q1,J - Informing and Communication,4.0,32597.2,5.3,32028.1
2011,Q1,K - Financial and Insurance Activities,3.2,25916.2,5.8,24765.7
2011,Q1,L - Real Estate Business,8.3,67771.5,0.4,70732.1
2011,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.9,47654.5,1.7,44616.2
2011,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.2,98915.4,3.6,95506.1
2011,Q1,R-T - Other Service Activities,3.0,24409.6,-1.1,22683.1
2011,Q1,Total,85.0,691419.7,3.1,644150.3
2011,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.9,129373.6,2.7,117266.1
2011,Q2,"A - Agriculture, Forestry and Fishing",7.1,63181.7,0.9,48037.9
2011,Q2,"B-E - Manufacturing, Mining and Other Industries",22.5,202037.2,3.1,179861.5
2011,Q2,F - Construction,3.7,32902.0,15.8,30720.6
2011,Q2,J - Informing and Communication,3.8,34184.2,8.2,33461.9
2011,Q2,K - Financial and Insurance Activities,3.0,26761.1,0.6,24589.9
2011,Q2,L - Real Estate Business,7.7,68982.6,1.4,72394.5
2011,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.3,47727.7,1.6,44295.8
2011,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.8,105610.8,2.4,98000.5
2011,Q2,R-T - Other Service Activities,2.7,24457.2,1.4,22703.4
2011,Q2,Total,83.6,749321.1,2.5,681926.1
2011,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.0,143476.5,-0.8,127860.1
2011,Q3,"A - Agriculture, Forestry and Fishing",8.4,78234.8,2.1,65527.6
2011,Q3,"B-E - Manufacturing, Mining and Other Industries",22.1,204619.8,0.6,182414.9
2011,Q3,F - Construction,4.3,40105.8,18.6,36902.4
2011,Q3,J - Informing and Communication,3.9,36591.4,10.0,34732.2
2011,Q3,K - Financial and Insurance Activities,2.9,26605.0,-0.5,23816.3
2011,Q3,L - Real Estate Business,7.8,71962.5,1.3,73486.1
2011,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.1,47598.7,-0.8,43467.6
2011,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.2,103745.4,0.9,96904.1
2011,Q3,R-T - Other Service Activities,2.6,24565.9,2.3,22845.6
2011,Q3,Total,84.4,782886.3,1.1,711545.1
2011,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.0,148857.1,-3.5,131448.3
2011,Q4,"A - Agriculture, Forestry and Fishing",7.4,72138.7,1.2,61405.3
2011,Q4,"B-E - Manufacturing, Mining and Other Industries",23.2,226287.3,5.4,197107.8
2011,Q4,F - Construction,4.9,47720.0,19.2,43253.3
2011,Q4,J - Informing and Communication,3.8,37491.0,9.2,34965.7
2011,Q4,K - Financial and Insurance Activities,2.8,26905.5,-2.3,23831.5
2011,Q4,L - Real Estate Business,7.5,73441.7,1.3,74313.4
2011,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.9,47780.0,-3.4,43092.7
2011,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.8,115114.6,-0.2,101804.3
2011,Q4,R-T - Other Service Activities,2.6,24923.3,0.0,22673.7
2011,Q4,Total,84.5,824050.4,1.7,735702.4
2011,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.6,152248.3,-4.9,133254.9
2012,Q1,"A - Agriculture, Forestry and Fishing",5.1,42481.3,-19.0,33699.2
2012,Q1,"B-E - Manufacturing, Mining and Other Industries",24.3,203103.2,-0.9,176972.5
2012,Q1,F - Construction,2.7,22391.4,29.0,21105.8
2012,Q1,J - Informing and Communication,4.5,37197.7,14.7,36744.8
2012,Q1,K - Financial and Insurance Activities,3.3,27312.5,-0.3,24685.1
2012,Q1,L - Real Estate Business,8.3,69574.0,0.1,70835.9
2012,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.8,48685.2,-1.5,43925.2
2012,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.5,104180.5,-0.1,95381.6
2012,Q1,R-T - Other Service Activities,3.0,25182.1,-0.7,22517.9
2012,Q1,Total,85.4,712683.9,-1.2,636694.1
2012,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.9,132576.0,-3.1,113632.0
2012,Q2,"A - Agriculture, Forestry and Fishing",5.4,50787.9,-16.5,40091.8
2012,Q2,"B-E - Manufacturing, Mining and Other Industries",22.5,212808.1,0.4,180532.1
2012,Q2,F - Construction,4.2,40024.5,14.9,35302.1
2012,Q2,J - Informing and Communication,4.2,39680.1,16.8,39099.6
2012,Q2,K - Financial and Insurance Activities,3.0,28719.3,5.3,25899.3
2012,Q2,L - Real Estate Business,8.3,78140.4,0.7,72866.2
2012,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.4,51385.6,2.8,45549.0
2012,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.7,110612.8,0.3,98334.2
2012,Q2,R-T - Other Service Activities,2.7,25334.7,-0.9,22505.1
2012,Q2,Total,83.7,791451.5,0.7,686999.8
2012,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.3,153958.1,0.9,129065.4
2012,Q3,"A - Agriculture, Forestry and Fishing",7.7,76271.3,-16.3,54878.4
2012,Q3,"B-E - Manufacturing, Mining and Other Industries",22.0,217364.1,-0.7,181158.4
2012,Q3,F - Construction,4.4,43329.2,3.3,38121.0
2012,Q3,J - Informing and Communication,4.0,39415.5,10.4,38355.1
2012,Q3,K - Financial and Insurance Activities,2.9,28525.2,7.4,25573.6
2012,Q3,L - Real Estate Business,8.3,82156.0,0.3,73690.0
2012,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.4,53563.8,6.7,46380.1
2012,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.7,105667.8,-1.8,95190.3
2012,Q3,R-T - Other Service Activities,2.6,25763.0,-0.7,22678.2
2012,Q3,Total,84.2,830664.0,-0.9,705270.8
2012,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.1,158608.1,-1.4,129612.9
2012,Q4,"A - Agriculture, Forestry and Fishing",7.2,75623.7,-16.7,51134.6
2012,Q4,"B-E - Manufacturing, Mining and Other Industries",24.1,251568.2,3.2,203507.2
2012,Q4,F - Construction,3.7,38360.1,-20.8,34237.7
2012,Q4,J - Informing and Communication,4.0,42046.5,12.9,39484.8
2012,Q4,K - Financial and Insurance Activities,2.7,28444.3,6.3,25334.4
2012,Q4,L - Real Estate Business,7.9,82191.2,0.4,74613.3
2012,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.3,55827.4,8.9,46920.3
2012,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.4,118667.8,-1.4,100387.0
2012,Q4,R-T - Other Service Activities,2.5,26562.5,1.2,22951.9
2012,Q4,Total,84.4,881013.9,-1.2,727112.2
2012,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.5,161722.1,-3.1,129183.1
2013,Q1,"A - Agriculture, Forestry and Fishing",7.1,66569.1,24.7,42039.6
2013,Q1,"B-E - Manufacturing, Mining and Other Industries",24.5,228660.8,5.1,185961.4
2013,Q1,F - Construction,2.2,20955.4,-10.2,18952.5
2013,Q1,J - Informing and Communication,4.8,44941.0,8.8,39970.5
2013,Q1,K - Financial and Insurance Activities,3.1,28832.7,2.9,25394.5
2013,Q1,L - Real Estate Business,7.8,73154.8,0.4,71148.1
2013,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.2,57671.1,8.4,47635.2
2013,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.9,111343.7,2.3,97609.1
2013,Q1,R-T - Other Service Activities,2.9,27112.4,2.3,23043.6
2013,Q1,Total,85.9,802321.6,3.8,660960.8
2013,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.3,143080.6,-2.1,111266.4
2013,Q2,"A - Agriculture, Forestry and Fishing",7.5,76494.7,24.8,50021.1
2013,Q2,"B-E - Manufacturing, Mining and Other Industries",23.2,236657.5,5.9,191131.4
2013,Q2,F - Construction,2.6,26764.9,-33.7,23412.5
2013,Q2,J - Informing and Communication,4.5,45700.6,3.5,40468.8
2013,Q2,K - Financial and Insurance Activities,2.9,29869.1,2.0,26407.6
2013,Q2,L - Real Estate Business,7.6,77395.9,-0.2,72715.6
2013,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.8,58774.7,5.7,48132.2
2013,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.3,115079.7,2.3,100562.0
2013,Q2,R-T - Other Service Activities,2.6,26907.0,-0.7,22347.5
2013,Q2,Total,83.8,853374.1,1.7,698908.3
2013,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.7,159730.0,-3.7,124333.2
2013,Q3,"A - Agriculture, Forestry and Fishing",7.7,82310.1,18.3,64943.5
2013,Q3,"B-E - Manufacturing, Mining and Other Industries",23.7,252635.9,11.9,202733.7
2013,Q3,F - Construction,3.5,37495.3,-16.6,31811.0
2013,Q3,J - Informing and Communication,4.2,45154.1,3.5,39691.4
2013,Q3,K - Financial and Insurance Activities,2.7,28841.1,-0.5,25456.4
2013,Q3,L - Real Estate Business,7.8,82454.2,0.8,74286.2
2013,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.6,59653.1,2.7,47635.8
2013,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.1,117916.9,7.6,102472.3
2013,Q3,R-T - Other Service Activities,2.6,27748.1,-2.1,22201.3
2013,Q3,Total,84.7,900582.4,5.2,741787.0
2013,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.6,166373.5,-0.7,128642.0
2013,Q4,"A - Agriculture, Forestry and Fishing",7.3,80180.8,18.5,60571.0
2013,Q4,"B-E - Manufacturing, Mining and Other Industries",23.9,264101.9,3.7,211013.4
2013,Q4,F - Construction,3.5,38850.5,-6.6,31992.8
2013,Q4,J - Informing and Communication,4.1,45783.2,1.7,40172.0
2013,Q4,K - Financial and Insurance Activities,2.6,28920.9,0.2,25388.2
2013,Q4,L - Real Estate Business,7.6,83536.0,0.2,74742.0
2013,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.4,59668.2,1.3,47514.9
2013,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.7,129183.5,6.5,106906.5
2013,Q4,R-T - Other Service Activities,2.5,28118.9,-3.0,22268.6
2013,Q4,Total,84.2,931099.0,3.9,755576.7
2013,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.6,172755.1,3.5,133708.5
2014,Q1,"A - Agriculture, Forestry and Fishing",6.5,62094.9,2.6,43131.2
2014,Q1,"B-E - Manufacturing, Mining and Other Industries",24.1,231286.3,-0.2,185536.0
2014,Q1,F - Construction,2.4,22751.6,2.5,19434.2
2014,Q1,J - Informing and Communication,5.0,48023.4,0.5,40156.6
2014,Q1,K - Financial and Insurance Activities,3.0,29096.8,-0.1,25362.8
2014,Q1,L - Real Estate Business,8.2,78246.7,1.0,71859.5
2014,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.5,61913.9,0.0,47654.1
2014,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.9,113877.2,2.5,100039.2
2014,Q1,R-T - Other Service Activities,3.0,28581.1,-3.4,22254.7
2014,Q1,Total,85.4,819726.6,0.3,663008.5
2014,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.0,143854.7,-1.5,109629.8
2014,Q2,"A - Agriculture, Forestry and Fishing",6.9,71461.2,1.7,50891.7
2014,Q2,"B-E - Manufacturing, Mining and Other Industries",22.1,228272.2,-4.6,182326.1
2014,Q2,F - Construction,2.9,30068.4,6.2,24859.2
2014,Q2,J - Informing and Communication,4.8,49317.4,1.5,41055.6
2014,Q2,K - Financial and Insurance Activities,2.9,30272.1,0.2,26450.9
2014,Q2,L - Real Estate Business,7.9,81867.2,0.9,73373.9
2014,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.1,63063.8,-0.1,48086.7
2014,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.3,117094.8,1.4,101986.3
2014,Q2,R-T - Other Service Activities,2.9,29432.8,2.5,22898.0
2014,Q2,Total,83.5,861862.4,-0.8,692980.5
2014,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.6,161012.6,-1.9,121930.2
2014,Q3,"A - Agriculture, Forestry and Fishing",8.1,85757.0,1.2,65711.6
2014,Q3,"B-E - Manufacturing, Mining and Other Industries",20.6,217141.8,-15.0,172382.6
2014,Q3,F - Construction,3.3,34697.8,-12.8,27750.1
2014,Q3,J - Informing and Communication,4.7,49455.2,3.7,41168.6
2014,Q3,K - Financial and Insurance Activities,2.8,29507.9,-2.2,24897.5
2014,Q3,L - Real Estate Business,8.3,86963.9,0.7,74809.2
2014,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.1,63858.0,0.4,47822.5
2014,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.1,116977.9,-0.9,101600.0
2014,Q3,R-T - Other Service Activities,2.8,29223.2,1.9,22613.9
2014,Q3,Total,84.0,883551.9,-4.6,707655.0
2014,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.2,169969.4,-0.8,127572.4
2014,Q4,"A - Agriculture, Forestry and Fishing",6.7,74666.4,2.5,62088.6
2014,Q4,"B-E - Manufacturing, Mining and Other Industries",21.5,240362.8,-11.0,187817.8
2014,Q4,F - Construction,4.1,45420.7,11.4,35640.3
2014,Q4,J - Informing and Communication,4.6,51152.9,5.6,42427.6
2014,Q4,K - Financial and Insurance Activities,2.7,30449.0,0.5,25512.6
2014,Q4,L - Real Estate Business,8.0,89763.1,0.5,75119.7
2014,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.7,63191.5,-1.1,46992.0
2014,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.4,127138.5,-0.2,106689.7
2014,Q4,R-T - Other Service Activities,2.6,29559.2,1.3,22554.3
2014,Q4,Total,83.2,929530.7,-2.2,738940.7
2014,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.9,177826.6,-0.2,133476.6
2015,Q1,"A - Agriculture, Forestry and Fishing",5.9,57455.0,0.4,43292.2
2015,Q1,"B-E - Manufacturing, Mining and Other Industries",23.2,225995.7,-1.4,182882.0
2015,Q1,F - Construction,2.4,23811.8,1.2,19665.1
2015,Q1,J - Informing and Communication,5.2,51030.3,5.0,42145.0
2015,Q1,K - Financial and Insurance Activities,3.3,31986.3,2.3,25956.2
2015,Q1,L - Real Estate Business,8.4,82120.5,1.4,72831.7
2015,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.5,63525.7,-1.4,46964.3
2015,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.8,105667.1,-2.5,97570.5
2015,Q1,R-T - Other Service Activities,3.1,29954.3,1.0,22488.2
2015,Q1,Total,84.5,824633.7,0.4,665609.5
2015,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.7,153087.0,3.1,113040.2
2015,Q2,"A - Agriculture, Forestry and Fishing",6.0,64662.6,-0.7,50512.9
2015,Q2,"B-E - Manufacturing, Mining and Other Industries",22.4,240848.1,4.7,190891.0
2015,Q2,F - Construction,3.6,38304.5,20.4,29931.9
2015,Q2,J - Informing and Communication,4.8,52042.8,3.2,42375.0
2015,Q2,K - Financial and Insurance Activities,3.0,32170.7,-1.7,26004.3
2015,Q2,L - Real Estate Business,7.8,83720.4,0.5,73728.9
2015,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.9,63277.6,-3.7,46305.0
2015,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.2,109318.7,-2.9,99052.7
2015,Q2,R-T - Other Service Activities,2.8,29817.7,-2.4,22343.4
2015,Q2,Total,82.6,887666.1,2.1,707303.4
2015,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.1,173502.9,3.6,126357.7
2015,Q3,"A - Agriculture, Forestry and Fishing",7.9,86291.4,3.9,68296.9
2015,Q3,"B-E - Manufacturing, Mining and Other Industries",20.8,228438.7,7.0,184489.1
2015,Q3,F - Construction,4.2,46368.7,27.8,35456.5
2015,Q3,J - Informing and Communication,4.7,51967.8,1.9,41932.3
2015,Q3,K - Financial and Insurance Activities,2.9,31736.4,2.5,25513.2
2015,Q3,L - Real Estate Business,7.9,86995.2,0.3,75024.8
2015,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.9,64610.6,-2.5,46608.0
2015,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.1,110933.6,-1.5,100036.6
2015,Q3,R-T - Other Service Activities,2.8,30266.3,0.0,22615.9
2015,Q3,Total,83.5,917204.4,3.5,732217.2
2015,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.3,179595.6,2.9,131244.4
2015,Q4,"A - Agriculture, Forestry and Fishing",6.9,80758.7,3.2,64051.4
2015,Q4,"B-E - Manufacturing, Mining and Other Industries",21.7,252478.8,6.8,200524.8
2015,Q4,F - Construction,4.6,52929.1,14.3,40727.9
2015,Q4,J - Informing and Communication,4.6,52912.7,0.5,42631.0
2015,Q4,K - Financial and Insurance Activities,2.8,32419.0,1.9,26007.9
2015,Q4,L - Real Estate Business,7.5,86888.8,-0.3,74905.2
2015,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.6,65191.2,-0.2,46898.5
2015,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.7,124691.5,-1.4,105195.4
2015,Q4,R-T - Other Service Activities,2.7,31028.1,2.2,23058.7
2015,Q4,Total,83.1,965284.2,3.0,761298.3
2015,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.0,185986.4,2.3,136507.2
2016,Q1,"A - Agriculture, Forestry and Fishing",5.9,60770.0,7.5,46547.9
2016,Q1,"B-E - Manufacturing, Mining and Other Industries",23.4,239618.9,6.1,193952.1
2016,Q1,F - Construction,2.7,27802.0,16.9,22995.3
2016,Q1,J - Informing and Communication,5.2,53172.3,2.1,43027.2
2016,Q1,K - Financial and Insurance Activities,3.2,32753.3,2.9,26716.8
2016,Q1,L - Real Estate Business,8.0,82388.2,-0.2,72709.2
2016,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.3,64407.7,0.5,47221.8
2016,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.5,107213.2,0.3,97889.9
2016,Q1,R-T - Other Service Activities,3.0,31222.2,3.8,23339.6
2016,Q1,Total,84.1,862182.2,4.2,693846.4
2016,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.9,162834.2,6.1,119904.2
2016,Q2,"A - Agriculture, Forestry and Fishing",6.2,69460.0,4.6,52816.9
2016,Q2,"B-E - Manufacturing, Mining and Other Industries",21.8,244545.2,2.1,194872.0
2016,Q2,F - Construction,3.8,42114.1,10.0,32933.2
2016,Q2,J - Informing and Communication,4.8,54141.0,3.0,43667.0
2016,Q2,K - Financial and Insurance Activities,3.0,33351.1,4.8,27265.3
2016,Q2,L - Real Estate Business,7.5,84081.2,-1.0,73002.8
2016,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.9,66119.8,4.1,48221.7
2016,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.0,112111.0,1.9,100924.2
2016,Q2,R-T - Other Service Activities,2.9,31996.9,7.0,23897.6
2016,Q2,Total,82.1,920396.8,3.5,731860.0
2016,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.3,182476.3,5.6,133406.9
2016,Q3,"A - Agriculture, Forestry and Fishing",7.8,90126.4,11.8,76348.3
2016,Q3,"B-E - Manufacturing, Mining and Other Industries",20.6,238912.8,3.2,190460.3
2016,Q3,F - Construction,4.5,52339.7,12.4,39846.1
2016,Q3,J - Informing and Communication,4.8,55072.6,4.7,43907.9
2016,Q3,K - Financial and Insurance Activities,2.9,33292.7,7.0,27300.9
2016,Q3,L - Real Estate Business,7.6,88239.2,-1.0,74306.1
2016,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.9,68791.1,5.9,49378.3
2016,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",9.7,112669.7,1.2,101198.7
2016,Q3,R-T - Other Service Activities,2.8,31960.4,5.1,23777.7
2016,Q3,Total,82.8,958816.5,4.4,764138.8
2016,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.2,187411.9,3.6,135943.4
2016,Q4,"A - Agriculture, Forestry and Fishing",7.2,87184.4,8.1,69251.0
2016,Q4,"B-E - Manufacturing, Mining and Other Industries",21.7,264479.2,2.8,206157.6
2016,Q4,F - Construction,4.4,53252.3,-2.0,39933.4
2016,Q4,J - Informing and Communication,4.6,56414.4,4.8,44672.4
2016,Q4,K - Financial and Insurance Activities,2.8,33755.8,6.8,27781.3
2016,Q4,L - Real Estate Business,7.1,86395.9,-1.3,73942.0
2016,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.7,69650.6,5.7,49565.2
2016,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.4,127104.4,2.8,108161.9
2016,Q4,R-T - Other Service Activities,2.6,31756.7,2.0,23509.5
2016,Q4,Total,82.8,1007625.8,3.2,785547.4
2016,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.2,197632.1,3.5,141350.5
2017,Q1,"A - Agriculture, Forestry and Fishing",5.3,57590.8,-7.7,42941.2
2017,Q1,"B-E - Manufacturing, Mining and Other Industries",22.9,246998.5,0.1,194103.9
2017,Q1,F - Construction,2.7,29230.8,-0.5,22884.5
2017,Q1,J - Informing and Communication,5.2,56340.4,3.6,44561.1
2017,Q1,K - Financial and Insurance Activities,3.2,33968.1,5.2,28100.6
2017,Q1,L - Real Estate Business,7.9,84689.6,0.8,73296.7
2017,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.5,70111.6,4.1,49174.0
2017,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.6,114146.9,2.9,100707.7
2017,Q1,R-T - Other Service Activities,2.9,30855.1,-1.2,23058.3
2017,Q1,Total,83.9,903797.8,1.8,706169.8
2017,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",16.7,179865.9,6.0,127107.6
2017,Q2,"A - Agriculture, Forestry and Fishing",5.2,61673.2,-10.6,47192.3
2017,Q2,"B-E - Manufacturing, Mining and Other Industries",22.0,258930.4,2.9,200543.1
2017,Q2,F - Construction,3.8,44421.1,-0.4,32814.7
2017,Q2,J - Informing and Communication,5.0,58621.7,3.5,45175.4
2017,Q2,K - Financial and Insurance Activities,2.9,33996.2,1.8,27759.4
