,Year,CountryId,Sector,Exports(tUSD),Imports(tUSD),NetExports(tUSD)
198,2004,CH,Drinks and Tobacco,359.6,42582.8,-42223.200000000004
199,2004,CH,Ineadible Raw Materials Excluding Fuel,431.0,558.0,-127.0
200,2004,CH,"Mineral Fuels, Lubricants and Related Products",954.6,32.6,922.0
201,2004,CH,"Animal and Vegetable Oils, Fats and Waxes",33.3,21.5,11.799999999999997
202,2004,CH,Chemical Products and Similar,1105.7,69390.7,-68285.0
203,2004,CH,Manufactured Products Classified by Material,8489.1,18421.5,-9932.4
204,2004,CH,Machines and Transport Devices,2465.1,34302.0,-31836.9
205,2004,CH,Other Finished Products,1767.8,12689.5,-10921.7
206,2004,CH,Undeclared Products within SITC Rev. 4,312.6,1987.8,-1675.1999999999998
207,2004,CI,Food and Livestock,3.8,3866.4,-3862.6
208,2004,CI,Ineadible Raw Materials Excluding Fuel,14.2,1.3,12.899999999999999
209,2004,CI,Machines and Transport Devices,2.6,0.2,2.4
210,2004,CI,Other Finished Products,0.0,0.5,-0.5
211,2004,CI,Undeclared Products within SITC Rev. 4,581.5,0.0,581.5
212,2004,CK,Manufactured Products Classified by Material,0.3,0.0,0.3
213,2004,CK,Machines and Transport Devices,0.0,0.1,-0.1
214,2004,CL,Food and Livestock,1.2,1814.8,-1813.6
215,2004,CL,Drinks and Tobacco,0.0,52.7,-52.7
216,2004,CL,Ineadible Raw Materials Excluding Fuel,0.0,40.2,-40.2
217,2004,CL,Chemical Products and Similar,0.0,115.4,-115.4
218,2004,CL,Manufactured Products Classified by Material,0.0,1.7,-1.7
219,2004,CL,Machines and Transport Devices,0.6,0.9,-0.30000000000000004
220,2004,CL,Other Finished Products,0.0,16.5,-16.5
221,2004,CM,Food and Livestock,0.0,98.5,-98.5
222,2004,CM,Ineadible Raw Materials Excluding Fuel,0.0,103.0,-103.0
223,2004,CM,Manufactured Products Classified by Material,0.0,0.0,0.0
224,2004,CM,Machines and Transport Devices,0.0,105.1,-105.1
225,2004,CM,Other Finished Products,0.0,3.3,-3.3
226,2004,CM,Undeclared Products within SITC Rev. 4,0.6,0.0,0.6
227,2004,CN,Food and Livestock,3.4,8228.3,-8224.9
228,2004,CN,Drinks and Tobacco,7.8,0.0,7.8
229,2004,CN,Ineadible Raw Materials Excluding Fuel,0.0,13482.5,-13482.5
230,2004,CN,"Mineral Fuels, Lubricants and Related Products",0.0,3498.3,-3498.3
231,2004,CN,"Animal and Vegetable Oils, Fats and Waxes",0.0,98.9,-98.9
232,2004,CN,Chemical Products and Similar,0.0,22377.2,-22377.2
233,2004,CN,Manufactured Products Classified by Material,126.0,48787.9,-48661.9
234,2004,CN,Machines and Transport Devices,448.8,244352.9,-243904.1
235,2004,CN,Other Finished Products,128.1,178081.5,-177953.4
236,2004,CN,Undeclared Products within SITC Rev. 4,0.0,1019.4,-1019.4
237,2004,CO,Food and Livestock,0.0,2846.9,-2846.9
238,2004,CO,Drinks and Tobacco,324.9,0.0,324.9
239,2004,CO,Chemical Products and Similar,0.0,375.8,-375.8
240,2004,CO,Manufactured Products Classified by Material,0.0,27.3,-27.3
241,2004,CO,Machines and Transport Devices,55.8,0.0,55.8
242,2004,CO,Other Finished Products,0.0,60.3,-60.3
243,2004,CO,Undeclared Products within SITC Rev. 4,0.0,0.9,-0.9
244,2004,CR,Food and Livestock,0.0,719.7,-719.7
245,2004,CR,Ineadible Raw Materials Excluding Fuel,0.0,6.5,-6.5
246,2004,CR,Chemical Products and Similar,0.0,0.7,-0.7
247,2004,CR,Manufactured Products Classified by Material,0.0,30.5,-30.5
248,2004,CR,Machines and Transport Devices,0.0,2865.5,-2865.5
249,2004,CR,Other Finished Products,0.0,9.5,-9.5
250,2004,CU,Drinks and Tobacco,0.0,100.7,-100.7
251,2004,CU,Ineadible Raw Materials Excluding Fuel,0.0,1425.6,-1425.6
252,2004,CU,Chemical Products and Similar,0.0,28.6,-28.6
253,2004,CU,Machines and Transport Devices,0.0,0.1,-0.1
254,2004,CU,Other Finished Products,0.0,0.2,-0.2
255,2004,CU,Undeclared Products within SITC Rev. 4,4.6,0.0,4.6
256,2004,CV,Manufactured Products Classified by Material,0.0,0.3,-0.3
257,2004,CV,Machines and Transport Devices,0.0,0.0,0.0
258,2004,CX,Food and Livestock,19.9,1.9,18.0
259,2004,CX,Chemical Products and Similar,10.4,0.0,10.4
260,2004,CY,Food and Livestock,942.4,807.3,135.10000000000002
261,2004,CY,Drinks and Tobacco,145.8,0.0,145.8
262,2004,CY,Ineadible Raw Materials Excluding Fuel,848.2,429.8,418.40000000000003
263,2004,CY,"Mineral Fuels, Lubricants and Related Products",12.3,45.9,-33.599999999999994
264,2004,CY,Chemical Products and Similar,561.6,5699.3,-5137.7
265,2004,CY,Manufactured Products Classified by Material,10666.1,32136.6,-21470.5
266,2004,CY,Machines and Transport Devices,7271.2,1551.5,5719.7
267,2004,CY,Other Finished Products,710.9,505.1,205.79999999999995
268,2004,CY,Undeclared Products within SITC Rev. 4,32.1,258.1,-226.00000000000003
269,2004,CZ,Food and Livestock,5890.1,7516.3,-1626.1999999999998
270,2004,CZ,Drinks and Tobacco,168.8,232.7,-63.89999999999998
271,2004,CZ,Ineadible Raw Materials Excluding Fuel,3042.1,3889.6,-847.5
272,2004,CZ,"Mineral Fuels, Lubricants and Related Products",53.4,1384.4,-1331.0
273,2004,CZ,"Animal and Vegetable Oils, Fats and Waxes",0.0,0.9,-0.9
274,2004,CZ,Chemical Products and Similar,3523.2,50749.9,-47226.700000000004
275,2004,CZ,Manufactured Products Classified by Material,28416.0,81666.4,-53250.399999999994
276,2004,CZ,Machines and Transport Devices,3408.0,76849.9,-73441.9
277,2004,CZ,Other Finished Products,3357.1,11555.7,-8198.6
278,2004,CZ,Undeclared Products within SITC Rev. 4,295.5,344.4,-48.89999999999998
279,2004,DE,Food and Livestock,61542.2,43575.8,17966.399999999994
280,2004,DE,Drinks and Tobacco,1579.1,18993.2,-17414.100000000002
281,2004,DE,Ineadible Raw Materials Excluding Fuel,25121.5,22125.1,2996.4000000000015
282,2004,DE,"Mineral Fuels, Lubricants and Related Products",729.7,7935.8,-7206.1
283,2004,DE,"Animal and Vegetable Oils, Fats and Waxes",29.8,1987.9,-1958.1000000000001
284,2004,DE,Chemical Products and Similar,23156.9,227256.4,-204099.5
285,2004,DE,Manufactured Products Classified by Material,128388.2,217145.1,-88756.90000000001
286,2004,DE,Machines and Transport Devices,49340.2,844659.6,-795319.4
287,2004,DE,Other Finished Products,61077.6,120568.9,-59491.299999999996
288,2004,DE,Undeclared Products within SITC Rev. 4,1917.3,21913.0,-19995.7
289,2004,DJ,Machines and Transport Devices,0.0,0.2,-0.2
290,2004,DK,Food and Livestock,1629.7,2920.9,-1291.2
291,2004,DK,Drinks and Tobacco,0.0,23.5,-23.5
292,2004,DK,Ineadible Raw Materials Excluding Fuel,402.3,1265.1,-862.8
293,2004,DK,"Mineral Fuels, Lubricants and Related Products",0.3,0.8,-0.5
294,2004,DK,"Animal and Vegetable Oils, Fats and Waxes",0.0,943.3,-943.3
295,2004,DK,Chemical Products and Similar,21.6,29817.2,-29795.600000000002
296,2004,DK,Manufactured Products Classified by Material,473.5,2606.7,-2133.2
297,2004,DK,Machines and Transport Devices,2629.9,13132.0,-10502.1
