Year,Region,Gender,AgeGroup,Amount
2011,South and East,M,28,10192
2011,State,M,29,49455
2011,Belgrade,M,29,12667
2011,Voyvodina/North,M,29,13700
2011,Central and West,M,29,13017
2011,South and East,M,29,10071
2011,State,M,30,50610
2011,Belgrade,M,30,13211
2011,Voyvodina/North,M,30,13890
2011,Central and West,M,30,13238
2011,South and East,M,30,10271
2011,State,M,31,50580
2011,Belgrade,M,31,13164
2011,Voyvodina/North,M,31,14063
2011,Central and West,M,31,13128
2011,South and East,M,31,10225
2011,State,M,32,51304
2011,Belgrade,M,32,13058
2011,Voyvodina/North,M,32,14442
2011,Central and West,M,32,13376
2011,South and East,M,32,10428
2011,State,M,33,51431
2011,Belgrade,M,33,12912
2011,Voyvodina/North,M,33,14069
2011,Central and West,M,33,13820
2011,South and East,M,33,10630
2011,State,M,34,51624
2011,Belgrade,M,34,12663
2011,Voyvodina/North,M,34,14006
2011,Central and West,M,34,14089
2011,South and East,M,34,10866
2011,State,M,35,51536
2011,Belgrade,M,35,12417
2011,Voyvodina/North,M,35,13974
2011,Central and West,M,35,14002
2011,South and East,M,35,11143
2011,State,M,36,50032
2011,Belgrade,M,36,12141
2011,Voyvodina/North,M,36,13472
2011,Central and West,M,36,13596
2011,South and East,M,36,10823
2011,State,M,37,49771
2011,Belgrade,M,37,11985
2011,Voyvodina/North,M,37,13432
2011,Central and West,M,37,13486
2011,South and East,M,37,10868
2011,State,M,38,47987
2011,Belgrade,M,38,11144
2011,Voyvodina/North,M,38,12776
2011,Central and West,M,38,13072
2011,South and East,M,38,10995
2011,State,M,39,48322
2011,Belgrade,M,39,11378
2011,Voyvodina/North,M,39,13090
2011,Central and West,M,39,13228
2011,South and East,M,39,10626
2011,State,M,40,47140
2011,Belgrade,M,40,11181
2011,Voyvodina/North,M,40,12556
2011,Central and West,M,40,12966
2011,South and East,M,40,10437
2011,State,M,41,47485
2011,Belgrade,M,41,10837
2011,Voyvodina/North,M,41,12629
2011,Central and West,M,41,13196
2011,South and East,M,41,10823
2011,State,M,42,46674
2011,Belgrade,M,42,10346
2011,Voyvodina/North,M,42,12937
2011,Central and West,M,42,12834
2011,South and East,M,42,10557
2011,State,M,43,47120
2011,Belgrade,M,43,10402
2011,Voyvodina/North,M,43,12983
2011,Central and West,M,43,13179
2011,South and East,M,43,10556
2011,State,M,44,46895
2011,Belgrade,M,44,10046
2011,Voyvodina/North,M,44,13408
2011,Central and West,M,44,12905
2011,South and East,M,44,10536
2011,State,M,45,48283
2011,Belgrade,M,45,10409
2011,Voyvodina/North,M,45,13519
2011,Central and West,M,45,13517
2011,South and East,M,45,10838
2011,State,M,46,46713
2011,Belgrade,M,46,10094
2011,Voyvodina/North,M,46,13182
2011,Central and West,M,46,13041
2011,South and East,M,46,10396
2011,State,M,47,48511
2011,Belgrade,M,47,10347
2011,Voyvodina/North,M,47,13565
2011,Central and West,M,47,13889
2011,South and East,M,47,10710
2011,State,M,48,49139
2011,Belgrade,M,48,10275
2011,Voyvodina/North,M,48,13886
2011,Central and West,M,48,14196
2011,South and East,M,48,10782
2011,State,M,49,50765
2011,Belgrade,M,49,10528
2011,Voyvodina/North,M,49,14404
2011,Central and West,M,49,14555
2011,South and East,M,49,11278
2011,State,M,50,52519
2011,Belgrade,M,50,10667
2011,Voyvodina/North,M,50,14794
2011,Central and West,M,50,15325
2011,South and East,M,50,11733
2011,State,M,51,50939
2011,Belgrade,M,51,10484
2011,Voyvodina/North,M,51,14237
2011,Central and West,M,51,14936
2011,South and East,M,51,11282
2011,State,M,52,51751
2011,Belgrade,M,52,10738
2011,Voyvodina/North,M,52,13846
2011,Central and West,M,52,15596
2011,South and East,M,52,11571
2011,State,M,53,50801
2011,Belgrade,M,53,10609
2011,Voyvodina/North,M,53,14280
2011,Central and West,M,53,14708
2011,South and East,M,53,11204
2011,State,M,54,55243
2011,Belgrade,M,54,11798
2011,Voyvodina/North,M,54,15685
2011,Central and West,M,54,16018
2011,South and East,M,54,11742
2011,State,M,55,57719
2011,Belgrade,M,55,12202
2011,Voyvodina/North,M,55,15879
2011,Central and West,M,55,16958
2011,South and East,M,55,12680
2011,State,M,56,60713
2011,Belgrade,M,56,12944
2011,Voyvodina/North,M,56,15893
2011,Central and West,M,56,18426
2011,South and East,M,56,13450
2011,State,M,57,59417
2011,Belgrade,M,57,12587
2011,Voyvodina/North,M,57,15580
2011,Central and West,M,57,17719
2011,South and East,M,57,13531
2011,State,M,58,60546
2011,Belgrade,M,58,12967
2011,Voyvodina/North,M,58,15449
2011,Central and West,M,58,18302
2011,South and East,M,58,13828
2011,State,M,59,52075
2011,Belgrade,M,59,11371
2011,Voyvodina/North,M,59,13693
2011,Central and West,M,59,15069
2011,South and East,M,59,11942
2011,State,M,60,56474
2011,Belgrade,M,60,12277
2011,Voyvodina/North,M,60,14676
2011,Central and West,M,60,16302
2011,South and East,M,60,13219
2011,State,M,61,52413
2011,Belgrade,M,61,11456
2011,Voyvodina/North,M,61,14000
2011,Central and West,M,61,14918
2011,South and East,M,61,12039
2011,State,M,62,49866
2011,Belgrade,M,62,10706
2011,Voyvodina/North,M,62,13007
2011,Central and West,M,62,13579
2011,South and East,M,62,12574
2011,State,M,63,45658
2011,Belgrade,M,63,10049
2011,Voyvodina/North,M,63,12267
2011,Central and West,M,63,12149
2011,South and East,M,63,11193
2011,State,M,64,37997
2011,Belgrade,M,64,8411
2011,Voyvodina/North,M,64,10445
2011,Central and West,M,64,10567
2011,South and East,M,64,8574
2011,State,M,65,28630
2011,Belgrade,M,65,6194
2011,Voyvodina/North,M,65,7314
2011,Central and West,M,65,8148
2011,South and East,M,65,6974
2011,State,M,66,31027
2011,Belgrade,M,66,6237
2011,Voyvodina/North,M,66,7492
2011,Central and West,M,66,9047
2011,South and East,M,66,8251
2011,State,M,67,30933
2011,Belgrade,M,67,5960
2011,Voyvodina/North,M,67,7872
2011,Central and West,M,67,9025
2011,South and East,M,67,8076
2011,State,M,68,31646
2011,Belgrade,M,68,6440
2011,Voyvodina/North,M,68,8252
2011,Central and West,M,68,8488
2011,South and East,M,68,8466
2011,State,M,69,32693
2011,Belgrade,M,69,6929
2011,Voyvodina/North,M,69,8396
2011,Central and West,M,69,9209
2011,South and East,M,69,8159
2011,State,M,70,34250
2011,Belgrade,M,70,7095
2011,Voyvodina/North,M,70,8450
2011,Central and West,M,70,10227
2011,South and East,M,70,8478
2011,State,M,71,31847
2011,Belgrade,M,71,6854
2011,Voyvodina/North,M,71,8123
2011,Central and West,M,71,9388
2011,South and East,M,71,7482
2011,State,M,72,31213
2011,Belgrade,M,72,6759
2011,Voyvodina/North,M,72,7782
2011,Central and West,M,72,9178
2011,South and East,M,72,7494
2011,State,M,73,30622
2011,Belgrade,M,73,6616
2011,Voyvodina/North,M,73,7425
2011,Central and West,M,73,9141
2011,South and East,M,73,7440
2011,State,M,74,29474
2011,Belgrade,M,74,6363
2011,Voyvodina/North,M,74,7253
2011,Central and West,M,74,8689
2011,South and East,M,74,7169
2011,State,M,75,28183
2011,Belgrade,M,75,6122
2011,Voyvodina/North,M,75,6631
2011,Central and West,M,75,8486
2011,South and East,M,75,6944
2011,State,M,76,26959
2011,Belgrade,M,76,5865
2011,Voyvodina/North,M,76,6028
2011,Central and West,M,76,8188
2011,South and East,M,76,6878
2011,State,M,77,24416
